編號,縣市,所在轄區,X坐標,Y坐標,公園名稱,里別,面積公頃,類別,座落位置,管理單位,使用分區,附註,使用告示牌1,搖搖椅,搖搖樂,攀岩牆,旋轉地球,鐵馬搖椅,雙座潛艇滑軌,天梯爬梯,鏡子護欄,泡泡窗,方向盤,螺旋滑梯,海底峽谷爬梯,彈力蹺蹺板,蹺蹺板,攀爬梯網狀爬架,盪鞦韆,溜滑梯,吊橋,親子木樁,沙坑,大型兒童遊具,中型兒童遊具,小型兒童遊具,轉轉拼圖,其他遊樂設施,使用告示牌2,單槓引體向上,雙槓,高低槓,平行槓平行桿,三人扭腰器長,三人扭腰器圓轉腰器,平步機,伸腰伸臂架腰腹訓練器,壓腿器,太空漫步機雙人漫步機,肩關節康復器大轉輪,腰背按摩器,上肢牽引器,腹肌架腹肌運動,太極揉推器,平衡木,撐體向上,跳躍運動,仰臥舉腿,上下階運動,左右側跳,伏地挺身,俯前坐,腿筋伸展,衝浪板雙人浪板,吊環,雙向爬梯,天梯雲梯,滑輪吊環,滾背伸展,仰臥起坐,垂直爬梯,划船器,其他體健設施,石椅,靠背石椅,木椅,靠背木椅,鋁椅,靠背鋁椅,塑鋼椅,靠背塑鋼椅,白鐵椅,靠背白鐵椅,白鐵管椅,靠背白鐵管椅,玻璃椅,其他休憩設施,對奕石桌椅1:2,對奕石桌椅1:4,熄菸筒,石桌椅1:4,野餐桌椅,其他,木製涼亭,涼亭,瞭望台,花架,景觀壁燈,燈箱,高燈,矮燈,地底燈,橋樑,水龍頭1,電源開關箱,身障斜坡,身障扶手,P型身障扶手,C101,舞台,籃球場,網球場,羽球場,溜冰場,排球場,舉重館,槌球場,客家文化館,寵物新樂園沙坑,噴水池,管理單位說明,違規罰鍰,使用注意事項,公布欄,好望角,自行車路線圖,指示標誌,健康步道,垃圾桶1,腳踏車架,腳踏車停車位,機車停車位,汽車停車位,殘障停車位,遊覽車停車位,擋車阻,公廁,移動式廁間,便器蹲式1,便器坐式1,沖水器腳踏式1,沖水器水箱型1,垃圾桶2,門1,標誌1,XA8身障扶手,身障間洗手台2,小便區2,小便斗2,噴水器按押式2,噴水器感應式2,XB4身障扶手,煙蒂盒2,洗手台區2,鏡1,水槽1,水龍頭2,給皂盒1,衛生紙盒1,垃圾桶3,XC7身障扶手,便器蹲式2,便器坐式2,沖水器腳踏式2,沖水器水箱型2,垃圾桶4,門2,標誌2,YA8身障扶手,身障間洗手台1,小便區1,小便斗1,噴水器按押式1,噴水器感應式1,YB4身障扶手,煙蒂盒1,洗手台區1,鏡2,水槽2,水龍頭3,給皂盒2,衛生紙盒2,垃圾桶5,YC7身障扶手,門3,窗,照明燈,空調抽風機,洗腳池,台電電箱數量,台電電箱面積m2,中華電信設備箱數量,中華電信設備箱面積m2,欣南瓦斯設備箱數量,欣南瓦斯設備箱面積m2,第四台業者設備箱數量,第四台業者設備箱面積m2,C195,C196,C197,C198,C199,公園全景
119,臺南市,南區,166528.07,2540695.9,新興國宅-公兒22,開南里,0.7217,鄰里公園,新建路55巷,南區區公所,鄰里,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.48,,,,,,,,,,,,1
120,臺南市,南區,166409.03,2540570.98,新興國宅-公兒23,開南里,0.1328,鄰里公園,新建路52巷,南區區公所,鄰里,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
121,臺南市,南區,166372.62,2540495.1,新興國宅-公兒24,開南里,0.1062,鄰里公園,新建路54巷,南區區公所,鄰里,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
122,臺南市,南區,166671.3,2540431.32,新興國宅-公兒25,南華里,0.1972,鄰里公園,中華南路二段302巷6弄,南區區公所,鄰里,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
123,臺南市,南區,166696,2540262.52,新興國宅-公兒26,南華里,0.1592,鄰里公園,中華南路二段第六分局對面,南區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
124,臺南市,南區,166444.82,2540237.33,新興國宅-公兒27,南都里,0.1607,鄰里公園,中華南路二段315巷口,南區區公所,鄰里,,,1,3,,,,,,,,,,,,,,1,,,,,,1,,,,1,,1,1,,1,,,,,1,1,,1,,,,,,,,,,,,,,,1,,,,1,,,8,,,,,,,4,,,,,,,,2,,,,,,1,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
125,臺南市,南區,166133.37,2537142.12,萬年公園(灣裡公42),省躬里,1.9,區域公園,明興路925巷口,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,1,,1,1,,,,,1,,,,,,,,,,,,1,,,1,,,,23,,,,,,,3,,,,,,,,,,,,,,,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
126,臺南市,南區,167243.61,2542591.31,廣州公園(綠1),廣州里,0.25,鄰里公園,福吉五街16巷五號,南區區公所,鄰里,,1,2,4,,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,,,,,,,,3,,3,,,,1,,,,,9,,,,4,1,1,,,,,,,,,,,,,,,1,,1,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
127,臺南市,南區,166034.8,2535853.17,興南公園(南山段公兒14),佛壇里,0.285,鄰里公園,興南街及省躬三街口,南區區公所,鄰里,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,10,,1,,,,,,9,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
128,臺南市,南區,166442.62,2536660,興農公園(灣里公9),興農里,1.0671,區域公園,明興路211巷口,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,5,,8,,,,,8,,,,,,,,,,,2,,1,,,,,,10,2,,,1,1,,,1,,,2,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
129,臺南市,南區,165644.96,2536800.43,親水公園(公15),松安里,3.47,區域公園,濱海公路旁,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
130,臺南市,南區,166540.28,2536715.49,舉喜段公79公園,同安里,3.4983,區域公園,明興路,公園管理一科,大型,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,,,,,,,,,,,,,,,,,,1,,,,,13,,,5,2,1,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.36,,,,,,,,,,,,1
131,臺南市,南區,166591.16,2537346.67,舉喜重劃-舉喜段公兒S2,同安里,0.0799,,明興路925巷(舉喜重劃自辦),南區區公所,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.12,,,,,,,,,,,,1
132,臺南市,南區,166943.99,2537510.95,舉喜重劃-舉喜段公兒S70,同安里,0.4682,,,南區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.48,,,,,,,,,,,,1
133,臺南市,南區,166796.79,2536337.55,舉喜重劃-舉喜段公兒S71,同安里,0.2793,,明興路1181巷(舉喜重劃自辦),南區區公所,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.73,,,,,,,,,,,,1
134,臺南市,南區,166583.16,2542884,瀨口公園(公2),文華里,0.4,鄰里公園,中華西路&建南路口,南區區公所,鄰里,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,5,,6,,,,,4,,,,,,,,,,,2,,,,,,,,6,,,,5,2,,,2,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22.36,1,0.78,,,,,,,,,,1
135,臺南市,南區,165086.81,2540072.28,鯤鯓公園(公兒S1),鯤鯓里,0.12,,鯤鯓路100-1號旁,南區區公所,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,1,,1,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,,,,,,,1,,1,1,,,,,,,,7,,,,2,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
136,臺南市,中西區,167781.921,2543242.982,和意公園,小西里,0.8868,鄰里公園,和意路(錢櫃對面),中西區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
137,臺南市,中西區,166659.635,2544149.486,公C1,大涼里,0.15,鄰里公園,民生路二段尾南側,中西區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
138,臺南市,中西區,166659.635,2544149.486,綠C1,安海里,0.0256,鄰里公園,府前一街與中華西路二段,中西區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
139,臺南市,中西區,,,開山公園,開山里,0.2215,鄰里公園,府前路一段巷子內,中西區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
140,臺南市,中西區,167763.14,2543431.45,小西門圓環(綠2附),小西里,1.08,區域公園,西門路一段、府前路二段,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,14,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.8,,,,,,,,,,,,1
141,臺南市,中西區,168496.51,2543692.02,湯德章紀念公園(綠1),永華里,0.5,區域公園,民生路、中山路圓環,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
142,臺南市,中西區,168001.06,2544229.94,西門圓環(綠3),天后里,0.84,區域公園,西門路、民族路,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,28,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20.2,,,,,,,,,,,,1
143,臺南市,中西區,168407.17,2542966.47,南門公園(公8),大南里,1.33,區域公園,南門路、樹林街,公園管理一科,大型,,,2,,,,,,,,,,,,1,,,2,,,,,,1,,,,2,2,,,,2,,,1,1,2,1,1,1,,2,,,,,,,,,,,,,,,,,,,,19,,4,12,,,,,,,,,,,,9,1,,,,,,,,4,,26,,,,13,,2,1,1,,,,,,,,,,,,,,6,,,,1,,,4,,,11,,,,4,1,,2,1,2,1,3,3,3,1,1,1,3,,3,,,2,2,2,2,2,2,1,1,3,1,3,1,4,4,4,1,1,,,,,,,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,1
144,臺南市,中西區,168181.59,2543398.38,檨仔林公園(公11),永福里,2.22,區域公園,忠義路、府前路口,公園管理一科,大型,,1,4,,,,,,,,,,,,,1,,2,,,,,1,,,,,,2,,,,1,,,1,1,2,,1,2,,1,,,,,,,,,,1,,,,,,1,,,,17,,5,,,,,,,,,15,,,,7,,,,,,,,,69,,29,22,,,4,,4,2,3,,,,,,,,,,,,,,,1,2,,,,1,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,1
145,臺南市,中西區,166960.18,2543980.28,運河星鑽自然生態公園,大涼里,1.83,區域公園,府前路二段258巷底,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
146,臺南市,中西區,166071.51,2544975.82,頂美公園(公兒14),西湖里,0.64,鄰里公園,湖美二街130巷尾(湖美社區內),中西區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.2,,,,,,,,,,,,1
147,臺南市,中西區,166755.49,2544562.81,文賢公園,文賢里,,,文祥街,中西區公所,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
148,臺南市,中西區,167070.17,2543269.14,民生里公63,民生里,0.091,,南華街巷內,中西區公所,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
149,臺南市,中西區,165682.98,2544759.6,西賢公園,西賢里,0.4,鄰里公園,西賢一街109巷,中西區公所,鄰里,,2,6,,,,,,,,,,,,,,,2,,,,,,2,,,,4,3,,,,,1,,1,,2,1,,2,,,,1,,1,,,,,,,,,,,,2,,,,11,,,,,,,,,21,,,,,,1,1,1,,,1,1,1,15,,,10,,8,,11,1,2,1,1,,,,1,,,,,,,,,1,1,,1,,,,1,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
150,臺南市,中西區,166336.11,2544423.72,西湖公園(公兒15),西湖里,0.84,鄰里公園,民權路四段頂美一街,中西區公所,鄰里,,,3,2,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,1,,,,1,1,,1,,1,1,1,,1,1,1,,,1,,,,1,,,3,1,,1,3,,10,,,10,,,,6,,,,,,,,2,,,,,,,,,33,,,,3,1,5,,,,,1,,,,,,,,,,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
151,臺南市,中西區,167333.66,2544572.03,協和公園(公35),協和里,0.32,鄰里公園,民族路三段258號後面,中西區公所,鄰里,,1,2,2,,,,,,,,,,,,,,4,,,,,,,1,,,1,6,,,,2,,1,,,1,,1,1,,1,,,,,,,,,,,,,1,,,,,,2,,,,22,,,,,,6,,,,,,,,5,,,,1,,,,,14,,,,,,,,,,,1,,,1,,,,,,,1,,2,2,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
152,臺南市,中西區,166880.96,2545097.46,光賢公園(公兒12),光賢里,0.43,鄰里公園,武聖路151巷50弄,中西區公所,鄰里,,1,3,3,,,,,,,,,,,,1,,1,,,,,,,1,,,1,3,,,,1,,,,,2,,1,,,1,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,26,,,,,,,,,,,,1,,,,,13,,,,2,1,,,2,,,1,,1,,,,,,,,1,,1,1,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
153,臺南市,中西區,166759.23,2543683.04,烏橋公園(兒公5),大涼里,0.54,鄰里公園,府前路二段370號,中西區公所,鄰里,,,4,,,,,,,,,,,,1,,,1,1,,,,,1,,,,1,2,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,1,10,,5,,,,,,,,,,,,,2,,,,,,1,,,,,13,,,,2,,1,1,1,,,,1,,,,,,,,,1,,3,,,,,,1,,,,,,,,1,,1,,,1,1,,1,,,1,2,2,,,,1,1,1,1,,1,,,2,,,2,2,2,1,,,,,,,,,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,1
154,臺南市,中西區,166081.08,2544652.72,湖美公園(公兒17),西湖里,0.4271,鄰里公園,湖美一街42巷北側,中西區公所,鄰里,,1,4,1,,,,,,,,,,,,,1,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,11,,,,,,5,,,,,,,,,,,18,,,,3,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
155,臺南市,中西區,166538.83,2545037.78,頂湖公園(公兒14),西湖里,0.64,鄰里公園,頂美三街230號前西側,中西區公所,鄰里,,1,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,1,,,,,,,,,13,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
156,臺南市,中西區,166238.81,2544845.65,湖美麗景公園(公38),西湖里,0.2087,鄰里公園,湖美街(湖美社區內),中西區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
157,臺南市,安南區,,,州南段公兒8,州南里,1.07,社區公園,州南七街與州南二街交叉口,公園管理科,公園用地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
158,臺南市,安南區,,,本淵寮公園(公兒17),溪心里,0.3,鄰里公園,海佃路三段與功安二街,區公所,公園用地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159,臺南市,安南區,168733.98,2548640.32,大愛公園,安慶里,1.2,區域公園,安中路一段220巷口,公園管理一科,大型,,1,,3,1,,,,,,,,,,2,,1,1,,,,,1,,,,,,,1,1,,1,,,,2,1,,,1,,,,,,,,,,,,,1,1,1,,1,,,,,,,15,,,5,,,,,,,,,,,,1,2,,3,,,,,,26,,,,8,1,,,1,,1,1,,,,,,,,,,,2,1,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160,臺南市,安南區,170957.61,2551406.67,和順寮公39,東和里,30,區域公園,長和路&環館路口(台灣歷史博物館旁),公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
161,臺南市,安南區,166780.33,2549450.71,海北段公32,溪心里,1.2742,區域公園,安吉路1段&安中路3段路口,公園管理一科,大型,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,1,,,,,,9,,,,5,1,,,,,,,,,,,,,,,,,,1,,,,,,6,,,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.68,,,,,,,,,,,,1
162,臺南市,安南區,170957.61,2551406.67,東和里公兒1,東和里,1.7438,區域公園,長和街1段國立歷史博物館對面,公園管理一科,大型,,1,,2,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,1,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,9,,9,,,,,,,,,,,,,2,,,5,,,,,,,,10,2,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31.5,1,6.6,,,,,,,,,,1
163,臺南市,安南區,170967.98,2551487.68,五塊寮北柵岸紀念公園(和順寮綠21),東和里,1.362,區域公園,環館北路與長和路交叉口,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,2,,,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,6,,23,,,,,,,,,,,,,2,,2,16,,,,,,,,17,4,,3,4,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41.664,,,,,,,,,,,,1
