full_id,osm_id,osm_type,highway,lane_marki,junction,embankment,sidewalk_r,sidewalk_l,tunnel,turn_lanes,cycleway_b,source_nam,old_ref,local_ref,cycleway_r,cycleway_l,maxheight,maxspeed_t,old_name,motorroad,maxweight,motorcycle,motorcar,bicycle,alt_name,sidewalk,lanes,cycleway_1,foot,bridge,surface,name_zh,name_en,name,lit,ref_zh,ref_en,ref,oneway,maxspeed,layer,xcoord,ycoord
w24729832,"24729832",way,primary,,,,,,,,,,,,,,,,,,,,,,????????????,,,shared_lane,,,asphalt,,,???1???,yes,???1???,Provincial Highway 1,"1",yes,,,120.312357500000005,23.257960099999998
w24729832,"24729832",way,primary,,,,,,,,,,,,,,,,,,,,,,????????????,,,shared_lane,,,asphalt,,,???1???,yes,???1???,Provincial Highway 1,"1",yes,,,120.312319000000002,23.256848000000002
w24729832,"24729832",way,primary,,,,,,,,,,,,,,,,,,,,,,????????????,,,shared_lane,,,asphalt,,,???1???,yes,???1???,Provincial Highway 1,"1",yes,,,120.312161000000003,23.255186900000002
w24729832,"24729832",way,primary,,,,,,,,,,,,,,,,,,,,,,????????????,,,shared_lane,,,asphalt,,,???1???,yes,???1???,Provincial Highway 1,"1",yes,,,120.312154500000005,23.255116800000000
w24729832,"24729832",way,primary,,,,,,,,,,,,,,,,,,,,,,????????????,,,shared_lane,,,asphalt,,,???1???,yes,???1???,Provincial Highway 1,"1",yes,,,120.312141900000000,23.254979899999999
w24729832,"24729832",way,primary,,,,,,,,,,,,,,,,,,,,,,????????????,,,shared_lane,,,asphalt,,,???1???,yes,???1???,Provincial Highway 1,"1",yes,,,120.312136600000002,23.254235900000001
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.340860100000000,23.164480999999999
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.340777599999996,23.165147099999999
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.340737000000004,23.165555099999999
w24729835,"24729835",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,shared_lane,,,asphalt,,,,yes,???1???,Provincial Highway 1,"1",yes,,,120.340670700000004,23.166124400000001
