id,農業,森林,交通,水利,商業,純住宅,混合住宅,製造業,倉儲,宗教,殯葬,其他建築用地,學校,醫療,其他公共利用土地,遊憩,礦業,其他
156,4535,0,157,0,0,205,0,0,0,0,0,0,0,0,0,0,0,2159
157,4331,0,319,123,0,466,0,0,274,0,0,0,0,0,0,0,0,1543
158,5046,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,1899
159,5397,0,28,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1519
160,5314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742
161,4093,0,17,0,0,232,0,0,0,0,0,0,0,0,0,0,0,2714
162,4675,0,243,61,0,249,0,0,68,0,0,0,0,0,0,0,0,1760
163,3920,738,162,420,0,559,0,0,0,0,0,0,0,0,0,0,0,1257
164,3499,265,49,0,0,63,0,0,0,0,0,0,0,0,0,0,0,3180
165,4046,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,2848
166,3350,0,403,619,0,0,0,0,911,0,0,0,0,0,0,0,0,1773
167,2881,318,2669,318,0,367,0,0,0,0,0,0,0,0,0,0,0,503
168,1528,0,4787,0,0,182,0,0,0,0,0,0,0,0,0,0,0,559
169,676,191,4206,0,0,718,0,1052,40,0,0,0,0,0,0,0,0,173
170,2910,0,2100,0,0,594,0,0,182,0,0,0,0,0,0,0,0,1270
171,5739,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255
172,1847,5109,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,61
173,0,1076,0,4891,0,0,0,0,0,0,0,0,0,0,0,0,0,1089
174,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
