,id,left,top,right,bottom,活動中心,郵局,公車站,火車站,加油站,停車場,腳踏車,寺廟,大賣場,服飾,便利商店,超市美妝,電子賣場,銀行,ATM,大學,高中,國小,國中,補習班,嫌惡設施_危險,嫌惡設施_殯葬,嫌惡設施_髒亂,食物,診所,醫院,禮品百貨,觀光景點,房屋稅數量,地段率總和,折舊年數總和,平均地段率,平均折舊年數,EPSG3857_X,EPSG3857_Y,預測值
65,66,13373240.3256,2628636.2673,13373340.3256,2628536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628586.2673,112.2235107421875
66,67,13373240.3256,2628536.2673,13373340.3256,2628436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628486.2673,112.88394165039062
67,68,13373240.3256,2628436.2673,13373340.3256,2628336.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628386.2673,109.5381851196289
68,69,13373240.3256,2628336.2673,13373340.3256,2628236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628286.2673,102.8423900604248
69,70,13373240.3256,2628236.2673,13373340.3256,2628136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628186.2673,99.38560485839844
70,71,13373240.3256,2628136.2673,13373340.3256,2628036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628086.2673,101.70344734191895
71,72,13373240.3256,2628036.2673,13373340.3256,2627936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627986.2673,100.65059661865234
72,73,13373240.3256,2627936.2673,13373340.3256,2627836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627886.2673,104.59457588195801
73,74,13373240.3256,2627836.2673,13373340.3256,2627736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627786.2673,105.11288642883301
74,75,13373240.3256,2627736.2673,13373340.3256,2627636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627686.2673,104.63174629211426
