,id,left,top,right,bottom,活動中心,郵局,公車站,火車站,加油站,停車場,腳踏車,寺廟,大賣場,服飾,便利商店,超市美妝,電子賣場,銀行,ATM,大學,高中,國小,國中,補習班,嫌惡設施_危險,嫌惡設施_殯葬,嫌惡設施_髒亂,食物,診所,醫院,禮品百貨,觀光景點,房屋稅數量,地段率總和,折舊年數總和,平均地段率,平均折舊年數,EPSG3857_X,EPSG3857_Y,距最近火車站距離,公園,土地單價,預測值
82,83,13373240.3256,2626936.2673,13373340.3256,2626836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626886.2673,9123.34335938173,0,,91.9427318572998
83,84,13373240.3256,2626836.2673,13373340.3256,2626736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626786.2673,9167.7890287692,0,,92.2522087097168
84,85,13373240.3256,2626736.2673,13373340.3256,2626636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626686.2673,9212.93137991648,0,,91.01704978942871
85,86,13373240.3256,2626636.2673,13373340.3256,2626536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626586.2673,9258.76023886555,0,,90.97424602508545
86,87,13373240.3256,2626536.2673,13373340.3256,2626436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626486.2673,9305.26547862628,0,,93.09171104431152
87,88,13373240.3256,2626436.2673,13373340.3256,2626336.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626386.2673,9352.43702541449,0,,93.11703777313232
88,89,13373240.3256,2626336.2673,13373340.3256,2626236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626286.2673,9400.26486451403,0,,92.85739612579346
89,90,13373240.3256,2626236.2673,13373340.3256,2626136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626186.2673,9448.73904583518,0,,97.5261001586914
90,91,13373240.3256,2626136.2673,13373340.3256,2626036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626086.2673,9497.84968909035,0,,99.82968521118164
91,92,13373240.3256,2626036.2673,13373340.3256,2625936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2625986.2673,9547.5869886757,0,,101.2400074005127
92,93,13373240.3256,2625936.2673,13373340.3256,2625836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2625886.2673,9597.94121819376,0,,100.46529579162598
