Unnamed: 0,匯入時間,統計時間,銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址,lat,lng
2432,20211201,202110,54,54,京城商業銀行,新營分行,台南市新營區中山路148號,23.3050111,120.3167088
2433,20211201,202110,54,65,京城商業銀行,鹽水分行,台南市鹽水區中正路15號,23.3202859,120.2678928
2438,20211201,202110,54,113,京城商業銀行,麻豆分行,台南市麻豆區中山路83號,23.1835387,120.24616709999998
2440,20211201,202110,54,135,京城商業銀行,佳里分行,台南市佳里區文化路203號,23.1629839,120.1773638
2443,20211201,202110,54,180,京城商業銀行,東台南分行,台南市東區林森路二段98號,22.987854100000003,120.2235301
2445,20211201,202110,54,249,京城商業銀行,善化分行,台南市善化區中山路452號,23.13247680000001,120.2903557
2446,20211201,202110,54,250,京城商業銀行,學甲分行,台南市學甲區濟生路111號,23.232624800000004,120.1813331
2447,20211201,202110,54,272,京城商業銀行,開元分行,台南市北區開元路280號,23.0083724,120.2222767
2448,20211201,202110,54,283,京城商業銀行,永康分行,台南市永康區永大路二段27號,23.0022703,120.25986
2449,20211201,202110,54,294,京城商業銀行,新市分行,台南市新市區中正路240號,23.0763687,120.2918009
2450,20211201,202110,54,308,京城商業銀行,仁德分行,台南市仁德區中山路365號,22.9707238,120.2581237
2451,20211201,202110,54,319,京城商業銀行,六甲分行,台南市六甲區中正路491號,23.2300525,120.3512248
2452,20211201,202110,54,320,京城商業銀行,安南分行,台南市安南區海佃路一段366號,23.0276981,120.191022
2455,20211201,202110,54,353,京城商業銀行,西港分行,台南市西港區中山路344號,23.1217986,120.2034057
2456,20211201,202110,54,364,京城商業銀行,新化分行,台南市新化區中山路586號,23.0363605,120.30097
2458,20211201,202110,54,397,京城商業銀行,安和分行,台南市安南區安和路二段241號,23.0416881,120.2157411
2459,20211201,202110,54,401,京城商業銀行,新興分行,台南市南區新興路357、359號,22.975493300000004,120.191548
2460,20211201,202110,54,412,京城商業銀行,中華分行,台南市東區仁和路106號,22.9721787,120.23243909999998
2461,20211201,202110,54,434,京城商業銀行,白河分行,台南市白河區國光路7號,23.3521562,120.4159225
2464,20211201,202110,54,489,京城商業銀行,府城分行,台南市北區西門路四段15號,23.006824,120.205913
2465,20211201,202110,54,504,京城商業銀行,歸仁分行,台南市歸仁區中山路二段29號,22.9667157,120.2931462
2466,20211201,202110,54,515,京城商業銀行,鹽行分行,台南市永康區中正北路54號,23.0412854,120.2389896
2469,20211201,202110,54,607,京城商業銀行,關廟分行,台南市關廟區文衡路17號,22.9608476,120.3259923
2472,20211201,202110,54,663,京城商業銀行,玉井分行,台南市玉井區中山路130號,23.120254,120.4633858
2494,20211201,202110,54,939,京城商業銀行,裕農分行,台南市東區裕農路619之2號,22.9887508,120.2355467
2499,20211201,202110,61,43,中華票券金融股份有限公司,台南分公司,台南市中西區忠義路二段14號,22.9911929,120.2027239
