Unnamed: 0,匯入時間,縣市,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
18276,20211201,台南市,佳里區,土地,,142.49,都市：其他:住宅區,,,1100922,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000.0,19651.0,,0.0,0.0,,RPOOMLLJIIGGFGD17EA,0.0,0.0,0.0,無
18277,20211201,台南市,南區,房地(土地+建物),,25.12,都市：其他:住宅區,,,1100910,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700922.0,93.5,3,2,2,有,無,1900000.0,20321.0,,0.0,0.0,,RPXOMLNKIIGGFCD97EA,73.51,7.01,0.0,無
18278,20211201,台南市,永康區,房地(土地+建物)+車位,,14.87,都市：其他:住宅區,,,1100905,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1071214.0,97.21,2,2,1,有,有,8800000.0,90526.0,坡道平面,19.22,0.0,,RPWOMLOJIIGGFKD58DA,45.41,5.21,0.0,有
18279,20211201,台南市,新營區,房地(土地+建物),,24.3,都市：其他:住宅區,,,1100924,土地1建物1車位0,七層，八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830204.0,144.88,4,2,2,有,有,4450000.0,30715.0,,0.0,0.0,,RPPNMLSJIIGGFDD57EA,101.07,14.5,0.0,有
18280,20211201,台南市,永康區,房地(土地+建物)+車位,,29.53,都市：其他:住宅區,,,1080404,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100719.0,120.42,3,3,3,有,有,5750000.0,52840.0,坡道平面,29.58,950000.0,預售屋、或土地及建物分件登記案件；,RPSOMLPJIIGGFKD28DA,50.35,6.07,0.0,有
18281,20211201,台南市,永康區,房地(土地+建物)+車位,,29.53,都市：其他:住宅區,,,1080311,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100719.0,123.32,3,3,3,有,有,5750000.0,52290.0,坡道平面,32.48,1000000.0,預售屋、或土地及建物分件登記案件；,RPTOMLPJIIGGFKD38DA,50.35,6.07,0.0,有
18282,20211201,台南市,永康區,房地(土地+建物)+車位,,30.89,都市：其他:住宅區,,,1080404,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100719.0,127.66,3,3,3,有,有,5910000.0,51586.0,坡道平面,32.48,1000000.0,預售屋、或土地及建物分件登記案件；,RPWOMLPJIIGGFKD68DA,52.58,6.64,0.0,有
18283,20211201,台南市,永康區,房地(土地+建物)+車位,,29.53,都市：其他:住宅區,,,1080329,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100719.0,120.42,3,3,3,有,有,5800000.0,52840.0,一樓平面,29.58,1000000.0,預售屋、或土地及建物分件登記案件；,RPXOMLPJIIGGFKD78DA,50.43,5.99,0.0,有
18284,20211201,台南市,永康區,房地(土地+建物)+車位,,29.53,都市：其他:住宅區,,,1080402,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100719.0,120.42,3,3,3,有,有,5800000.0,53391.0,坡道平面,29.58,950000.0,預售屋、或土地及建物分件登記案件；,RPOQMLPJIIGGFKD08DA,50.35,6.07,0.0,有
18285,20211201,台南市,永康區,房地(土地+建物)+車位,,29.53,都市：其他:住宅區,,,1080415,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100719.0,120.42,3,3,3,有,有,5800000.0,52840.0,一樓平面,29.58,1000000.0,預售屋、或土地及建物分件登記案件；,RPPQMLPJIIGGFKD18DA,50.35,6.07,0.0,有
