Unnamed: 0,匯入時間,統計時間,商家名稱,縣市,門市,地址,lat,lng
4877,20211201,202110,7_11,台南市,仙草埔,台南市白河區仙草里仙草6之30號,23.34569,120.47351100000002
4878,20211201,202110,7_11,台南市,白河,台南市白河區永安里17鄰國泰路101號,23.347435,120.413771
4879,20211201,202110,7_11,台南市,東楨,台南市白河區永安里新興路507號一樓,23.352707,120.417083
4880,20211201,202110,7_11,台南市,荷韻,台南市白河區河東里9鄰冀萁湖122-35號,23.345468,120.42531
4881,20211201,202110,7_11,台南市,新蓮鄉,台南市白河區永安里大德街150號1樓,23.355845,120.412742
4882,20211201,202110,7_11,台南市,鈺善,台南市白河區昇安里1鄰三間厝2-56號,23.362848,120.42516
4883,20211201,202110,7_11,台南市,千福,台南市中西區大涼里中華西路二段36號,22.992781,120.187072
4884,20211201,202110,7_11,台南市,大五,台南市中西區法華里大同路一段218號220號,22.982393,120.211279
4885,20211201,202110,7_11,台南市,大府,台南市中西區府前路二段115號1樓2樓,22.990933,120.194546
4886,20211201,202110,7_11,台南市,友愛,台南市中西區友愛街197之199號,22.991874,120.197364
4887,20211201,202110,7_11,台南市,天公,台南市中西區忠義路二段109號,22.993862,120.203161
4888,20211201,202110,7_11,台南市,水仙宮,台南市中西區水仙里民權路三段87號1樓,22.996692775712,120.197345517382
4889,20211201,202110,7_11,台南市,永福,台南市中西區永福路二段65號1樓,22.991893,120.200701
4890,20211201,202110,7_11,台南市,光賢,台南市中西區中華西路二段600號600-1號1.2樓,23.004344,120.186965
4891,20211201,202110,7_11,台南市,赤崁,台南市中西區民族路二段331號,22.996774,120.202532
4892,20211201,202110,7_11,台南市,和善,台南市中西區藥王里民族路三段6鄰277號1樓,22.999745,120.192559
4893,20211201,202110,7_11,台南市,府醫,台南市中西區赤崁里中山路125號,22.996174774200696,120.209164524827
4894,20211201,202110,7_11,台南市,明珠,台南市中西區公正里民族路二段53號,22.9944047680574,120.210341525642
4895,20211201,202110,7_11,台南市,武聖,台南市中西區武聖路47號49號,23.005398,120.19234099999998
4896,20211201,202110,7_11,台南市,武德,台南市中西區青年路134號,22.991855,120.209172
4897,20211201,202110,7_11,台南市,南門城,台南市中西區南門路229號1樓,22.983763,120.204427
4898,20211201,202110,7_11,台南市,南英,"台南市中西區永福路一段30號32號1, 2樓",22.986014,120.200228
