Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用水度數
74388,20210301,201908,67000,臺南市,67000090,六甲區,A6700009006,15000.82
74389,20210301,201908,67000,臺南市,67000090,六甲區,A6700009007,18574.62
74390,20210301,201908,67000,臺南市,67000090,六甲區,A6700009008,12583.12
74391,20210301,201908,67000,臺南市,67000090,六甲區,A6700009009,25207.36
74392,20210301,201908,67000,臺南市,67000100,官田區,A6700010001,301571.05
74393,20210301,201908,67000,臺南市,67000100,官田區,A6700010002,18077.82
74394,20210301,201908,67000,臺南市,67000100,官田區,A6700010003,41830.75
74395,20210301,201908,67000,臺南市,67000100,官田區,A6700010004,20991.17
74396,20210301,201908,67000,臺南市,67000100,官田區,A6700010005,14677.73
74397,20210301,201908,67000,臺南市,67000100,官田區,A6700010006,33325.85
74398,20210301,201908,67000,臺南市,67000100,官田區,A6700010007,33990.02
74399,20210301,201908,67000,臺南市,67000100,官田區,A6700010008,19845.89
74400,20210301,201908,67000,臺南市,67000100,官田區,A6700010009,
74401,20210301,201908,67000,臺南市,67000110,大內區,A6700011001,25383.16
74402,20210301,201908,67000,臺南市,67000110,大內區,A6700011002,14963.15
74403,20210301,201908,67000,臺南市,67000110,大內區,A6700011003,
74404,20210301,201908,67000,臺南市,67000110,大內區,A6700011004,22845.99
74405,20210301,201908,67000,臺南市,67000110,大內區,A6700011005,14686.23
74406,20210301,201908,67000,臺南市,67000120,佳里區,A6700012001,11790.18
74407,20210301,201908,67000,臺南市,67000120,佳里區,A6700012002,12012.3
74408,20210301,201908,67000,臺南市,67000120,佳里區,A6700012003,67299.42
74409,20210301,201908,67000,臺南市,67000120,佳里區,A6700012004,18240.95
74410,20210301,201908,67000,臺南市,67000120,佳里區,A6700012005,27248.79
74411,20210301,201908,67000,臺南市,67000120,佳里區,A6700012006,26514.52
74412,20210301,201908,67000,臺南市,67000120,佳里區,A6700012007,28270.54
74413,20210301,201908,67000,臺南市,67000120,佳里區,A6700012008,24036.59
74414,20210301,201908,67000,臺南市,67000120,佳里區,A6700012009,18381.32
74415,20210301,201908,67000,臺南市,67000120,佳里區,A6700012010,24065.2
74416,20210301,201908,67000,臺南市,67000120,佳里區,A6700012011,24603.08
74417,20210301,201908,67000,臺南市,67000120,佳里區,A6700012012,26383.45
74418,20210301,201908,67000,臺南市,67000120,佳里區,A6700012013,22855.68
