Unnamed: 0,匯入時間,統計時間,裝設金融機構代號,裝設金融機構名稱,裝設地點,裝設縣市,裝設地址,lat,lng
6461,20211201,202110,13,國泰世華商業銀行,全家超商-永康鹽洲店,台南市,台南市永康區鹽忠街127號,23.0422125,120.2321059
6462,20211201,202110,13,國泰世華商業銀行,全家超商-安定港口店,台南市,台南市安定區港南里港口路244-28號,23.0928341,120.2349308
6463,20211201,202110,13,國泰世華商業銀行,全家超商-安定善高店,台南市,台南市安定區蘇厝村293-68號,23.1247519,120.2509866
6464,20211201,202110,13,國泰世華商業銀行,全家超商-西港南海店,台南市,台南市西港區慶安路206號,23.1204099,120.1975375
6465,20211201,202110,13,國泰世華商業銀行,全家超商-佳里光復店,台南市,台南市佳里區安西里光復路327號,23.1632284,120.1746411
6466,20211201,202110,13,國泰世華商業銀行,全家超商-佳里延平店,台南市,台南市佳里區忠孝東路91號,23.1652227,120.178367
6467,20211201,202110,13,國泰世華商業銀行,全家超商-官田雄壯店,台南市,台南市官田區官田里279號,23.1898853,120.3406679
6468,20211201,202110,13,國泰世華商業銀行,全家超商-柳營重溪店,台南市,台南市柳營區重溪里小腳腿12號,23.293917,120.365977
6469,20211201,202110,13,國泰世華商業銀行,全家超商-柳營敏惠店,台南市,台南市柳營區中山東路二段1116號,23.2793302,120.3307555
6470,20211201,202110,13,國泰世華商業銀行,全家超商-將軍青鯤鯓店,台南市,台南市將軍區鯤鯓里212號,23.1950904,120.086743
6471,20211201,202110,13,國泰世華商業銀行,全家超商-麻豆安業店,台南市,台南市麻豆區安業77之2號,23.162669,120.244449
