匯入時間,統計時間,縣市,停車場名稱,停車場地址,汽車停車位數,機車停車位數,lat,lng
20211201,202110,台南,長榮崇明停車場(日月亭股份有限公司營運),臺南市東區長榮路一段與長榮路一段15巷交叉口,13,13,22.982578,120.216159
20211201,202110,台南,新營區三民路站前停車場,臺南市新營區新營區三民路與三民路8巷交叉口,79,428,23.307608,120.321036
20211201,202110,台南,麻豆市五停車場,臺南市麻豆區麻豆區中正路80-33號,89,0,23.18557,120.249703
20211201,202110,台南,楠西區都市計畫停二立體停車場,臺南市楠西區楠西區民生路12號,38,96,,
20211201,202110,台南,停2立體停車場,臺南市新市區環東路1段與南科二路,417,70,23.096305,120.284649
20211201,202110,台南,管理局地下停車場,臺南市新市區環東路1段與南科三路,402,467,23.101229,120.282238
20211201,202110,台南,管理局戶外平面停車場,臺南市新市區環東路1段,227,46,23.102632,120.283831
20211201,202110,台南,社區中心停車場,臺南市新市區大順七路與大順三路,121,144,23.102632,120.283831
20211201,202110,台南,西拉雅廣場(公8)停車場,臺南市新市區南科五路,98,153,23.10416,120.282885
20211201,202110,台南,廣停4停車場,臺南市新市區南科五路與環東路2段,463,135,23.10416,120.282885
20211201,202110,台南,停6停車場,臺南市新市區環西路1段,83,51,23.277554,120.320535
20211201,202110,台南,停4停車場,臺南市新市區南科三路與南科南路,71,36,23.098677,120.2801
20211201,202110,台南,停8停車場,臺南市新市區南科三路與環西路1段,313,207,23.09849,120.274981
20211201,202110,台南,霞客湖停車場,臺南市新市區環西路2段,78,87,23.104551,120.274499
20211201,202110,台南,停一,臺南市新市區曼陀林路(新晶43-1、新晶45-1),86,0,23.094786,120.254409
20211201,202110,台南,停六,臺南市新市區紫楝路(新晶69-1),148,46,23.101349,120.26831
20211201,202110,台南,停八,臺南市新市區曼陀林路(新晶23-2、新晶26-0),338,21,23.102496,120.254588
20211201,202110,台南,停九,臺南市新市區堤塘港路(新晶77-1),114,24,23.095249,120.264296
20211201,202110,台南,廣停2停車場,臺南市善化區南科七路與三抱竹路,189,252,23.107428,120.269678
20211201,202110,台南,南科七路路側停車場,臺南市善化區南科七路,20,85,23.108519,120.27125
20211201,202110,台南,公2停車場,臺南市善化區環西路2段,10,292,23.111104,120.270228
20211201,202110,台南,停14停車場,臺南市善化區北園一路,85,164,23.123184,120.267339
20211201,202110,台南,廣停3停車場,臺南市善化區南科七路與環東路2段,534,512,23.112047,120.28097
20211201,202110,台南,公5停車場,臺南市善化區南科八路與環東路2段,57,36,23.116299,120.280436
20211201,202110,台南,停20停車場,臺南市善化區環東路2段,188,70,23.117845,120.279399
20211201,202110,台南,停1,臺南市柳營區工一路南側(義士段114地號),134,52,23.283375,120.357482
20211201,202110,台南,停2,臺南市柳營區環園東路東側(光洋旁)(義士段182地號),151,32,23.27773,120.361661
20211201,202110,台南,停3,臺南市柳營區環園西路與工七路口(德元段258-264地號),170,66,23.272435,120.353089
20211201,202110,台南,停4,臺南市柳營區環園東路東側(榮聖旁)(德元段11地號),113,50,23.269439,120.360795
20211201,202110,台南,停5,臺南市柳營區環園東路東側(公園旁)(義士段170地號),112,9,23.280634,120.362307
20211201,202110,台南,停1停車場,臺南市永康區王行段9地號,67,23,23.043913,120.27479
20211201,202110,台南,停2停車場,臺南市永康區王行里16鄰永科東路300號(王行段37地號),24,53,23.043913,120.27479
20211201,202110,台南,停3停車場,臺南市永康區王行里16鄰永科一路19號(王行段110地號),68,60,23.043913,120.27479
20211201,202110,台南,停4停車場,臺南市永康區王行里16鄰永科環路309號(王行段93地號),66,39,23.040545,120.274313
20211201,202110,台南,停5停車場,臺南市永康區王行里16鄰永科三路77號(王行段116地號),58,57,23.041335,120.278321
20211201,202110,台南,停6停車場,臺南市永康區王行里16鄰永科環路199號(王行段209地號),51,19,23.03618,120.27561
20211201,202110,台南,停7停車場,臺南市永康區王行里16鄰永科東路3號(王行段148地號),56,49,23.037014,120.281659
20211201,202110,台南,停8停車場,臺南市永康區王行里16鄰永科南路160號(王行段211地號),36,40,23.033077,120.276847
20211201,202110,台南,光賢街臨時停車場,臺南市中西區文中51，文小55,104,65,23.004325,120.189348
20211201,202110,台南,108期總安一自辦重劃，廣停9,臺南市安南區洲南六街(加油站後面),34,0,23.058128,120.217987
20211201,202110,台南,滯C北側停車場,臺南市善化區環西路2段與北園二路,10,0,23.118107,120.268919
20211201,202110,台南,水5停車場,臺南市善化區三抱竹路,38,28,23.115621,120.265121
20211201,202110,台南,漁光島停車場,臺南市安平區漁光路海巡隊哨站東側,99,0,22.987749,120.152389
20211201,202110,台南,顯草街機車停車場,臺南市安南區顯草街與媽祖宮一街口東南側,0,63,23.036534,120.125126
20211201,202110,台南,新營客轉市地重劃，廣停1,臺南市新營區新營區新運四街、新運二路(轉運站西側),59,103,23.310985,120.282299
20211201,202110,台南,新營客轉市地重劃，廣停2,臺南市新營區新營區新運三路與新運二路口西南側,7,0,23.30984,120.283439
20211201,202110,台南,樹林街2段254號旁臨時機車停車場,臺南市中西區台南市中西區樹林街2段254號,0,48,22.986135,120.202624
20211201,202110,台南,城平路外免費停車場,臺南市安平區安平漁港管理中心兩側,315,0,22.993024,120.152138
20211201,202110,台南,城平路邊免費停車場,臺南市安平區城平路兩側,113,0,22.994867,120.146567
20211201,202110,台南,漁濱路邊免費停車場,臺南市安平區漁濱路兩側,0,0,22.993654,120.143753
20211201,202110,台南,安港路邊免費停車場,臺南市安平區安港路兩側,69,0,22.990879,120.147844
20211201,202110,台南,大東夜市臨時停車場,臺南市東區東區林森路(大東夜市旁),0,495,22.982656,120.218415
20211201,202110,台南,北成路機車公有停車場,臺南市北區北區北成路(鄭子寮福安宮對面),0,25,23.020407,120.207154
