Unnamed: 0,匯入時間,統計時間,工廠名稱,地址,中行業別,細行業別,耗用原料,主要產品,lat,lng
55334,20211201,202110,宇陽實業股份有限公司,臺南市安南區安慶里安中路一段１５２號,其他製造業,拉鍊及鈕扣製造業,,毛胚、鈕釦、壓克力板，真珠板,23.035768882820893,120.208437068576
55335,20211201,202110,瑞明實業社,臺南市安南區安慶里安中路一段１８２號,機械設備業,其他通用機械設備製造業,,機械零件,23.03609722872769,120.207753925582
55336,20211201,202110,光億實業股份有限公司安和廠,臺南市安南區新順里安和路二段３１８巷３８弄２６號,塑膠製品業,其他塑膠製品製造業,,塑膠染色加工,23.042533806293303,120.217626334102
55337,20211201,202110,蒂夏生技有限公司和順廠,臺南市安南區新順里安和路三段１６號,食品及飼品業,未分類其他食品製造業,,食用酵素,23.0438777236518,120.217145335606
55338,20211201,202110,聖偉實業社,臺南市安南區新順里安和路二段３１８巷３８弄１２號,電力設備業,配線器材製造業,,塑膠製品,23.0426140926931,120.217628114593
55339,20211201,202110,敬修實業股份有限公司,臺南市安南區新順里安和路二段３１８巷２４號,塑膠製品業,其他塑膠製品製造業,,塑膠製品,23.0432234914104,120.217455206387
55340,20211201,202110,翔安捲門材料實業廠,臺南市安南區新順里政安路３１號,金屬製品業,金屬建築組件製造業,,鐵捲門,23.0417099092174,120.217847314108
55341,20211201,202110,紀帆工業股份有限公司,臺南市安南區新順里安和路三段３６號,金屬製品業,金屬模具製造業,,模具加工,23.044167042592395,120.217126002452
55342,20211201,202110,正捷股份有限公司,臺南市安南區新順里安和路二段３１８巷３８弄８號,金屬製品業,金屬模具製造業,,模具,23.0428999353754,120.217672713651
55343,20211201,202110,昱明鋼模工業股份有限公司安和廠,臺南市安南區新順里安和路三段３２號,金屬製品業,金屬模具製造業,,模具,23.0441270158274,120.217175996878
55344,20211201,202110,福明車料有限公司,臺南市安南區新順里安和路二段３１８巷２５號,其他運輸工具零件業,自行車零件製造業,,自行車零組件,23.043548688333697,120.217459865173
55345,20211201,202110,坤興工作所,臺南市安南區安慶里安中路一段７０巷４８號,金屬製品業,未分類其他金屬製品製造業,,金屬傢具零件,23.0350719806056,120.210396695345
55346,20211201,202110,玉明有限公司安南廠,臺南市安南區總頭里北安路三段２９９號,其他運輸工具零件業,機車零件製造業,,機車燈座,23.046166978840297,120.206895009366
55347,20211201,202110,龍王企業股份有限公司,臺南市安南區安東里安和路二段５４巷８１號,金屬製品業,未分類其他金屬製品製造業,,鋁桶、鋁鍋,23.0373035980924,120.216518971356
55348,20211201,202110,日升橡膠實業有限公司,臺南市安南區新順里安和路二段３１８巷３８弄２１號,汽車及零件業,汽車零件製造業,,橡膠製汽車零件,23.042617697973,120.217900616822
55349,20211201,202110,歆德機器有限公司,臺南市安南區安慶里安中路一段７０巷２０號,機械設備業,其他通用機械設備製造業,,脫水（油）機,23.034927160518,120.210564087653
55350,20211201,202110,新棒企業有限公司第二廠,臺南市安南區安慶里安中路一段１７５號,電力設備業,其他家用電器製造業,,小家電製品,23.035654873644,120.207777781754
55351,20211201,202110,成郁企業有限公司,臺南市安南區新順里政安路６０巷２號,金屬製品業,未分類其他金屬製品製造業,,鑄鐵,23.040667811819,120.218098236909
55352,20211201,202110,成興鑄造股份有限公司,臺南市安南區新順里政安路５８號,基本金屬業,鋼鐵鑄造業,,鑄鐵,23.0411532371782,120.218146368075
55353,20211201,202110,侑利精密企業有限公司,臺南市安南區新順里安和路三段５４巷６號,金屬製品業,金屬表面處理業,,不鏽鋼製品加工,23.0445469637004,120.217495957554
55354,20211201,202110,立達實業社,臺南市安南區新順里安和路三段５４巷８號,金屬製品業,金屬模具製造業,,模具加工,23.044528458165107,120.217606714476
55355,20211201,202110,樺昌興業股份有限公司,臺南市安南區新順里安和路二段３１８巷４５號,電力設備業,其他家用電器製造業,,電風扇、乾碗機,23.04336886671,120.218147142919
55356,20211201,202110,長興印刷所,臺南市安南區新順里安和路三段６０號,印刷及儲存媒體複製業,印刷業,,塑膠袋印刷品,23.0448048892821,120.217446460499
55357,20211201,202110,精業精密工業有限公司,臺南市安南區新順里政安路５７巷３號,金屬製品業,金屬模具製造業,,模具,23.0417993746836,120.218500341595
55358,20211201,202110,勝斌工業有限公司,臺南市安南區新順里政安路５７巷５號,汽車及零件業,汽車零件製造業,,汽，機車金屬零件,23.041902334537,120.218521994291
55359,20211201,202110,中一電鍍工業股份有限公司,臺南市安南區新順里政安路５７巷７號,金屬製品業,金屬表面處理業,,汽機車零件表面電鍍,23.0419988418861,120.218517046767
55360,20211201,202110,嶸光電器有限公司,臺南市安南區新順里政安路５７巷９號,電力設備業,其他家用電器製造業,,電力機械器材,23.0420996033848,120.21851412373002
55361,20211201,202110,合興精密研磨廠,臺南市安南區新順里政安路５７巷１號,汽車及零件業,汽車零件製造業,,金屬零件加工,23.0416271002135,120.218559196153
55362,20211201,202110,尚昌機車有限公司,臺南市安南區新順里安和路三段６４號,其他運輸工具零件業,機車零件製造業,,機車零件之裝配,23.044900041032,120.217514310994
55363,20211201,202110,豐丞機電有限公司,臺南市安南區新順里安和路二段３１８巷５６號,電力設備業,其他電力設備及配備製造業,,電力器材,23.0427720315939,120.218468775657
55364,20211201,202110,生泰工業股份有限公司安和分廠,臺南市安南區安東里安和路二段５４巷２１６號,金屬製品業,未分類其他金屬製品製造業,,蒸籠,23.0362320284562,120.216361544119
55365,20211201,202110,聖美企業股份有限公司,臺南市安南區安東里安和路一段４７８巷２弄５２號,塑膠製品業,塑膠膜袋製造業,,印刷、塑膠製品,23.0346718328355,120.213691549163
55366,20211201,202110,東昇實業股份有限公司,臺南市安南區新順里安和路二段３１８巷６３之１號,塑膠製品業,其他塑膠製品製造業,,塑膠零件製品,23.0433319848695,120.218449835567
55367,20211201,202110,名冠宏企業股份有限公司,臺南市安南區新順里安和路二段３１８巷６３號,金屬製品業,金屬表面處理業,,金屬製品電鍍,23.0433319848695,120.218449835567
55368,20211201,202110,晟億興塑膠電鍍廠有限公司,臺南市安南區安東里安通路二段５２號,金屬製品業,金屬表面處理業,,電鍍,23.035561154718,120.21562722066002
55369,20211201,202110,三豪興機械齒輪股份有限公司,臺南市安南區新順里安和路三段８２號,機械設備業,機械傳動設備製造業,,齒輪,23.0452993524085,120.21764216987
55370,20211201,202110,典昌企業股份有限公司,臺南市安南區新順里安和路三段５６號,金屬製品業,未分類其他金屬製品製造業,,鋁瓶,23.044803923129106,120.217999619718
55371,20211201,202110,長瀛打字印刷有限公司,臺南市安南區新順里安和路三段８６號,印刷及儲存媒體複製業,印刷業,,打字印刷,23.045384808404304,120.217684999816
55372,20211201,202110,生泰工業股份有限公司擠型廠,臺南市安南區安東里安和路二段５４巷２２６號,基本金屬業,鋁材軋延、擠型及伸線業,,鋁質建築材料,23.0358997427897,120.216530113155
55373,20211201,202110,鴻祥科技股份有限公司,臺南市安南區安東里安和路一段４９６巷５３號,電力設備業,其他家用電器製造業,,電動按摩器等,23.035015602820703,120.215290743978
