Unnamed: 0,匯入時間,統計時間,縣市,站點UID,業管機關代碼,站點名稱,lat,lng
87333,20211201,202110,台南市,TNN10191,8,北安順,23.03885,120.21473
87334,20211201,202110,台南市,TNN10192,8,安順,23.03383,120.21246
87335,20211201,202110,台南市,TNN10193,8,安順市場,23.03276,120.21249
87336,20211201,202110,台南市,TNN10194,8,安順派出所,23.03048,120.21312
87337,20211201,202110,台南市,TNN10195,8,南安順,23.02813,120.21451
87338,20211201,202110,台南市,TNN10196,8,溪頂寮橋,23.02683,120.21501
87339,20211201,202110,台南市,TNN10197,8,六甲頂,23.01997,120.21609
87340,20211201,202110,台南市,TNN10198,8,正覺里,23.01731,120.21511
87341,20211201,202110,台南市,TNN10199,8,正風里,23.01511,120.21331
87342,20211201,202110,台南市,TNN10200,8,延平市場(長榮路),23.01329,120.21271000000002
87343,20211201,202110,台南市,TNN10201,8,延平國中,23.01048,120.21062
87344,20211201,202110,台南市,TNN10202,8,寮內,23.00577,120.21034
87345,20211201,202110,台南市,TNN10203,8,臺南轉運站,23.00171,120.20908
87346,20211201,202110,台南市,TNN10204,8,公園南路,23.00084,120.20972
87347,20211201,202110,台南市,TNN10205,8,臺南火車站(北站),22.99751,120.21116
87348,20211201,202110,台南市,TNN10206,8,大道公廟,22.99821,120.20628
87349,20211201,202110,台南市,TNN10207,8,光復市場,22.99862000000001,120.20457
87350,20211201,202110,台南市,TNN10208,8,成功國小,22.99937000000001,120.20291
87351,20211201,202110,台南市,TNN10209,8,西門路三段口,22.99902,120.20082
87352,20211201,202110,台南市,TNN10210,8,西門、民權路口,22.99583,120.19951
87353,20211201,202110,台南市,TNN10211,8,西門、友愛街口,22.99224,120.19834
87354,20211201,202110,台南市,TNN10212,8,小西門(大億麗緻),22.98853,120.19753
87355,20211201,202110,台南市,TNN10213,8,新光三越新天地,22.98661,120.19748
87356,20211201,202110,台南市,TNN10214,8,西門路一段,22.98445,120.19752
87357,20211201,202110,台南市,TNN10215,8,民生路二段,22.99708,120.19091
87358,20211201,202110,台南市,TNN10216,8,民生路臨時停車場,22.99766,120.18821
87359,20211201,202110,台南市,TNN10217,8,平安里,22.99817,120.18515
87360,20211201,202110,台南市,TNN10218,8,半路厝,22.99832,120.17822
87361,20211201,202110,台南市,TNN10219,8,臨海社區,22.99842,120.18198999999998
87362,20211201,202110,台南市,TNN10221,8,南興,22.99818,120.17267
87363,20211201,202110,台南市,TNN10222,8,承天橋口,22.99838,120.17131
87364,20211201,202110,台南市,TNN10223,8,安平國中,22.99877,120.16931
87365,20211201,202110,台南市,TNN10226,8,石門里,23.00061,120.16677
87366,20211201,202110,台南市,TNN10227,8,安平蚵灰窯文化館,23.00243,120.16428
87367,20211201,202110,台南市,TNN10228,8,漁民村,23.00292,120.16271
87368,20211201,202110,台南市,TNN10229,8,安平古堡(安北路),23.00287,120.16082
87369,20211201,202110,台南市,TNN10230,8,德記洋行、安平樹屋,23.00231,120.15831
87370,20211201,202110,台南市,TNN10231,8,崇義社區,22.99995,120.15321000000002
87371,20211201,202110,台南市,TNN10234,8,運河博物館,22.99921,120.16371
87372,20211201,202110,台南市,TNN10235,8,安平國中(育平路),22.99714,120.16739
87373,20211201,202110,台南市,TNN10236,8,安平區公所(育平路),22.99421,120.16746
87374,20211201,202110,台南市,TNN10237,8,億載金城,22.98893,120.16031
87375,20211201,202110,台南市,TNN10239,8,漁光里,22.98455,120.15363
87376,20211201,202110,台南市,TNN10241,8,瑞復中心,22.98013,120.15653
87377,20211201,202110,台南市,TNN10242,8,漁光分校,22.97782,120.15845
87378,20211201,202110,台南市,TNN10243,8,社頭,22.97585,120.16161
87379,20211201,202110,台南市,TNN10246,8,漁光分校,22.97797000000001,120.15842
87380,20211201,202110,台南市,TNN10247,8,瑞復中心,22.98013,120.15667
87381,20211201,202110,台南市,TNN10251,8,億載金城,22.98912,120.16031
87382,20211201,202110,台南市,TNN10252,8,安平區公所(育平路),22.99433,120.16766
87383,20211201,202110,台南市,TNN10253,8,安平國中(育平路),22.997020000000006,120.16759
87384,20211201,202110,台南市,TNN10254,8,運河博物館,22.99886,120.16376
87385,20211201,202110,台南市,TNN10258,8,港仔里,23.00017,120.16215
87386,20211201,202110,台南市,TNN10259,8,安平,22.99961,120.16418
87387,20211201,202110,台南市,TNN10260,8,安北路口,22.99912,120.16785
87388,20211201,202110,台南市,TNN10261,8,安平國中,22.99854,120.16951
87389,20211201,202110,台南市,TNN10262,8,承天橋口,22.99833,120.17125
87390,20211201,202110,台南市,TNN10263,8,南興,22.99805,120.17287
87391,20211201,202110,台南市,TNN10265,8,臨海社區,22.99831,120.18221
87392,20211201,202110,台南市,TNN10266,8,半路厝,22.99834,120.17874
87393,20211201,202110,台南市,TNN10267,8,平安里,22.99802,120.18511
87394,20211201,202110,台南市,TNN10268,8,民生路臨時停車場,22.99768,120.18798
87395,20211201,202110,台南市,TNN10269,8,民生路二段,22.99701,120.19067
87396,20211201,202110,台南市,TNN10270,8,三鯤鯓,22.97703,120.16141
87397,20211201,202110,台南市,TNN10271,8,天壇,22.97698,120.15971
87398,20211201,202110,台南市,TNN10272,8,安平古堡(安平路),23.00018,120.16068
87399,20211201,202110,台南市,TNN10273,8,安南國中,23.04815,120.17817
87400,20211201,202110,台南市,TNN10274,8,稅務局安南分局,23.04767,120.18087
87401,20211201,202110,台南市,TNN10275,8,安中路三段,23.04731,120.18269
87402,20211201,202110,台南市,TNN10276,8,溪心里,23.04507000000001,120.18541
87403,20211201,202110,台南市,TNN10277,8,南海尾,23.04241,120.18702
87404,20211201,202110,台南市,TNN10278,8,海東里,23.03953,120.18778
87405,20211201,202110,台南市,TNN10279,8,海尾前,23.035870000000006,120.18881
87406,20211201,202110,台南市,TNN10280,8,同安路口,23.03813,120.18813
87407,20211201,202110,台南市,TNN10281,8,理想社區,23.03302,120.18979
87408,20211201,202110,台南市,TNN10282,8,海東橋,23.03055,120.19021
87409,20211201,202110,台南市,TNN10283,8,中華社區,23.02738,120.19088
87410,20211201,202110,台南市,TNN10284,8,協成社區,23.02355,120.19175
87411,20211201,202110,台南市,TNN10285,8,溪仔墘社區,23.02081,120.19221
87412,20211201,202110,台南市,TNN10286,8,文元寮,23.01533,120.19361
87413,20211201,202110,台南市,TNN10287,8,大興街口,23.01383,120.19385
87414,20211201,202110,台南市,TNN10288,8,特力屋、好市多,23.01036,120.19389
87415,20211201,202110,台南市,TNN10289,8,文賢路,23.00602,120.19347
87416,20211201,202110,台南市,TNN10290,8,文賢國中,23.00421,120.19368
87417,20211201,202110,台南市,TNN10291,8,菱洲宮,23.00151,120.19571
87418,20211201,202110,台南市,TNN10292,8,成功路西段,23.00082,120.19761
87419,20211201,202110,台南市,TNN10293,8,西門路三段口,22.99902,120.20082
87420,20211201,202110,台南市,TNN10294,8,赤崁樓,22.99691,120.20221
87421,20211201,202110,台南市,TNN10296,8,台南醫院,22.99528,120.20937
87422,20211201,202110,台南市,TNN10297,8,臺南火車站(南站),22.99706,120.21119
87423,20211201,202110,台南市,TNN10298,8,縣知事官邸,22.99341,120.21171
87424,20211201,202110,台南市,TNN10299,8,東門圓環,22.99021,120.21151
87425,20211201,202110,台南市,TNN10300,8,東門教會,22.98746,120.21581
87426,20211201,202110,台南市,TNN10301,8,東門城,22.98653,120.21913
87427,20211201,202110,台南市,TNN10302,8,龍山寺,22.98582,120.22123
87428,20211201,202110,台南市,TNN10303,8,衛生局,22.98514,120.22325
87429,20211201,202110,台南市,TNN10304,8,富強市場,22.98263,120.22598
87430,20211201,202110,台南市,TNN10305,8,東區區公所,22.97985,120.22339
87431,20211201,202110,台南市,TNN10306,8,崇學、崇明路口,22.97784,120.22067
87432,20211201,202110,台南市,TNN10307,8,文化中心(台糖長榮酒店),22.97537,120.22198
87433,20211201,202110,台南市,TNN10308,8,中華東崇德路口,22.97512,120.22431
87434,20211201,202110,台南市,TNN10309,8,崇德五街口,22.97495,120.22618
87435,20211201,202110,台南市,TNN10310,8,崇德十街口,22.97268,120.22748
87436,20211201,202110,台南市,TNN10311,8,崇德十四街口,22.97085,120.22741
87437,20211201,202110,台南市,TNN10312,8,市立醫院,22.96872,120.22764
87438,20211201,202110,台南市,TNN10313,8,東區電信局,22.96576,120.22741
87439,20211201,202110,台南市,TNN10314,8,德東街口,22.96191,120.22748
87440,20211201,202110,台南市,TNN10319,8,消防局崇善分隊,22.96604,120.23167
87441,20211201,202110,台南市,TNN10320,8,大智里,22.96522,120.22972
87442,20211201,202110,台南市,TNN10321,8,東區電信局,22.96571,120.22757
87443,20211201,202110,台南市,TNN10322,8,市立醫院,22.96878,120.22759
87444,20211201,202110,台南市,TNN10323,8,崇德十四街口,22.97082,120.22746
87445,20211201,202110,台南市,TNN10324,8,崇德十街口,22.97273,120.22751
87446,20211201,202110,台南市,TNN10325,8,崇德五街口,22.97508,120.22604
87447,20211201,202110,台南市,TNN10326,8,中華東崇德路口,22.97515,120.22405
87448,20211201,202110,台南市,TNN10327,8,文化中心(台糖長榮酒店),22.97515,120.22238
87449,20211201,202110,台南市,TNN10328,8,崇學、崇明路口,22.97786,120.22084
87450,20211201,202110,台南市,TNN10329,8,東區區公所,22.97931,120.22304
87451,20211201,202110,台南市,TNN10330,8,富強市場,22.98244,120.22573
87452,20211201,202110,台南市,TNN10331,8,衛生局,22.98518,120.22316
87453,20211201,202110,台南市,TNN10332,8,龍山寺,22.98585,120.22137
87454,20211201,202110,台南市,TNN10333,8,東門城,22.98665,120.21858
87455,20211201,202110,台南市,TNN10334,8,東門教會,22.98762,120.21572
87456,20211201,202110,台南市,TNN10335,8,東門圓環,22.99041,120.21156
87457,20211201,202110,台南市,TNN10336,8,縣知事官邸,22.99312,120.21176
87458,20211201,202110,台南市,TNN10337,8,臺南火車站(北站),22.99742,120.21135
87459,20211201,202110,台南市,TNN10338,8,台南醫院,22.99538,120.20931000000002
87460,20211201,202110,台南市,TNN10339,8,民族路,22.99603,120.20515
87461,20211201,202110,台南市,TNN10340,8,赤崁樓,22.99687,120.20263
87462,20211201,202110,台南市,TNN10341,8,西門路三段口,22.99912,120.20101
87463,20211201,202110,台南市,TNN10342,8,成功路西段,23.00091,120.19788
87464,20211201,202110,台南市,TNN10343,8,菱洲宮,23.00161,120.19598
87465,20211201,202110,台南市,TNN10344,8,文賢國中,23.00418,120.19391
87466,20211201,202110,台南市,TNN10345,8,文賢路,23.00621,120.19367
87467,20211201,202110,台南市,TNN10346,8,特力屋、好市多,23.01092,120.19393
87468,20211201,202110,台南市,TNN10347,8,大興街口,23.01241,120.19375
87469,20211201,202110,台南市,TNN10348,8,文元寮,23.01521,120.19361
87470,20211201,202110,台南市,TNN10349,8,溪仔墘社區,23.02072,120.19238
87471,20211201,202110,台南市,TNN10350,8,協成社區,23.02452000000001,120.19163
87472,20211201,202110,台南市,TNN10351,8,中華社區,23.02722,120.19105
87473,20211201,202110,台南市,TNN10352,8,海東橋,23.03077,120.19035
87474,20211201,202110,台南市,TNN10353,8,理想社區,23.03294,120.19001000000002
87475,20211201,202110,台南市,TNN10354,8,同安路口,23.03842,120.18824
87476,20211201,202110,台南市,TNN10355,8,海尾前,23.03602,120.18893
87477,20211201,202110,台南市,TNN10356,8,海東里,23.04023,120.18775
87478,20211201,202110,台南市,TNN10357,8,南海尾,23.04245,120.18712
87479,20211201,202110,台南市,TNN10358,8,溪心里,23.04511,120.18558
87480,20211201,202110,台南市,TNN10359,8,安中路三段,23.04728,120.18359
