Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用電戶數,用電度數,電費總額
8240,20210301,201901,67000,臺南市,67000140,西港區,A6700014009,1333.0,385700.0,658400.0
8241,20210301,201901,67000,臺南市,67000140,西港區,A6700014010,60.0,20900.0,70100.0
8242,20210301,201901,67000,臺南市,67000140,西港區,A6700014011,470.0,192100.0,509000.0
8243,20210301,201901,67000,臺南市,67000150,七股區,A6700015001,2264.0,350500.0,623900.0
8244,20210301,201901,67000,臺南市,67000150,七股區,A6700015002,692.0,165600.0,330200.0000000001
8245,20210301,201901,67000,臺南市,67000150,七股區,A6700015003,1152.0,380400.0,554800.0
8246,20210301,201901,67000,臺南市,67000150,七股區,A6700015004,1856.0,292500.0,476600.0
8247,20210301,201901,67000,臺南市,67000150,七股區,A6700015005,1009.0,318900.0,571400.0
8248,20210301,201901,67000,臺南市,67000150,七股區,A6700015006,110.0,23600.0,61700.0
8249,20210301,201901,67000,臺南市,67000150,七股區,A6700015007,2195.0,384200.0,755500.0
8250,20210301,201901,67000,臺南市,67000150,七股區,A6700015008,2011.0,314700.0,624100.0
8251,20210301,201901,67000,臺南市,67000150,七股區,A6700015009,2192.0,411800.0,743700.0
8252,20210301,201901,67000,臺南市,67000160,將軍區,A6700016001,1784.0,449300.0,750500.0
8253,20210301,201901,67000,臺南市,67000160,將軍區,A6700016002,1441.0,213800.0,353700.0
8254,20210301,201901,67000,臺南市,67000160,將軍區,A6700016003,126.0,64400.00000000001,115900.0
8255,20210301,201901,67000,臺南市,67000160,將軍區,A6700016004,5771.0,533300.0,730699.9999999999
8256,20210301,201901,67000,臺南市,67000160,將軍區,A6700016005,1394.0,409500.0,752300.0
8257,20210301,201901,67000,臺南市,67000160,將軍區,A6700016006,2215.0,425900.00000000006,536500.0
8258,20210301,201901,67000,臺南市,67000160,將軍區,A6700016007,11.0,27600.0,113900.0
8259,20210301,201901,67000,臺南市,67000160,將軍區,A6700016008,2294.0,585700.0,800699.9999999999
8260,20210301,201901,67000,臺南市,67000160,將軍區,A6700016009,2425.0,345200.0000000001,493600.0
8261,20210301,201901,67000,臺南市,67000170,北門區,A6700017001,48.0,14400.0,50400.0
8262,20210301,201901,67000,臺南市,67000170,北門區,A6700017002,1221.0,358600.0,769200.0
8263,20210301,201901,67000,臺南市,67000170,北門區,A6700017003,1491.0,567300.0,1180400.0
8264,20210301,201901,67000,臺南市,67000170,北門區,A6700017004,46.0,12200.0,16500.0
8265,20210301,201901,67000,臺南市,67000170,北門區,A6700017005,1505.0,584400.0,1314300.0
8266,20210301,201901,67000,臺南市,67000170,北門區,A6700017006,1981.0,631600.0,1221500.0
8267,20210301,201901,67000,臺南市,67000180,新化區,A6700018001,3629.0,598100.0,1347200.0
8268,20210301,201901,67000,臺南市,67000180,新化區,A6700018002,1907.0,669100.0,1245000.0
8269,20210301,201901,67000,臺南市,67000180,新化區,A6700018003,1252.0,390300.0,753800.0
